iter,opt,CBCFW_pgap,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_pgap,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_pgap,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_pgap,FFW_dual,FFW_dgap,FFW_time,FAFW_pgap,FAFW_dual,FAFW_dgap,FAFW_time
62,1.998569499733222e6,1194.978954172926,1.9971187065630155e6,2645.7721243794076,0.185519412,1188.963725931244,1.9970962963125797e6,2662.1671465736,0.179433269,9.366427548229694e-5,1.9985666205897664e6,2.8792371197487228,0.136932212,1210.7862824837212,1.997418586431257e6,2361.69958444871,0.130367529,0.9357687730807811,1.9983915791799622e6,178.85632203286514,0.115940145
63,1.998569499733222e6,1179.5684958396014,1.9972413227181616e6,2507.745510899811,0.18719339,1170.0601470505353,1.9970069270068267e6,2732.6328734458657,0.183810549,7.598265074193478e-5,1.9985667112281776e6,2.7885810270090587,0.138688938,1197.9971302968916,1.997316989378579e6,2450.5074849398807,0.132734124,0.8534599167760462,1.9983789386883457e6,191.41450479300693,0.118003955
64,1.998569499733222e6,1165.1195967074018,1.997277597066866e6,2457.02226306338,0.191600063,1156.7999141633045,1.997199294244733e6,2527.005402652343,0.185538799,5.870428867638111e-5,1.9985672693176705e6,2.230474255804438,0.143179535,1185.3830641761888,1.9969298114375002e6,2825.0713598979637,0.134831308,0.7961061473470181,1.9984084435887998e6,161.85225056950003,0.119686088
65,1.998569499733222e6,1150.8345116351265,1.997271826813652e6,2448.5074312052166,0.193419513,1144.0452852498274,1.9972831607651147e6,2430.3842533570714,0.187225598,4.5650405809283257e-5,1.998567240680059e6,2.2590988134325016,0.144692004,1165.212789613055,1.9968068256400428e6,2927.886882792227,0.136846022,0.7335808395873755,1.9984140566018713e6,156.1767121902667,0.121727175
66,1.998569499733222e6,1140.7555475442205,1.9975230578108267e6,2187.1974699394195,0.195212641,1130.9155330045614,1.9974612409405923e6,2239.1743256341724,0.189024085,3.475812263786793e-5,1.9985681672295183e6,1.3325384617201053,0.146558512,1147.956326717278,1.9975085790552031e6,2208.877004736103,0.138809547,0.6912016018759459,1.998460627521431e6,109.56341339275241,0.123466281
67,1.998569499733222e6,1126.1658618582878,1.997276637613426e6,2419.0279816543916,0.196893586,1120.745267933933,1.9975379947025988e6,2152.2502985570754,0.190648439,2.6451656594872475e-5,1.9985680407046366e6,1.4590550370630808,0.148234912,1136.145281023113,1.9975144478504974e6,2191.1971637476236,0.140848953,0.6516652705613524,1.9984434358288492e6,126.71556964330375,0.125239174
68,1.998569499733222e6,1116.224277970614,1.9974824379388096e6,2203.2860723829654,0.198535316,1110.5482022797223,1.9974770448347498e6,2203.00310075187,0.194880803,2.0768726244568825e-5,1.998567974280356e6,1.5254736345959827,0.152656951,1124.2911647537258,1.9974861867494294e6,2207.604148546234,0.1427806,0.5712081871461123,1.998378257334141e6,191.8136072680354,0.127305139
69,1.998569499733222e6,1105.6504487243947,1.997509902704411e6,2165.247477535304,0.202788735,1099.5621130892541,1.9974766612379167e6,2192.400608394615,0.196524088,1.541641540825367e-5,1.9985682587289056e6,1.2410197329008952,0.154637653,1113.25671449746,1.9976586827285858e6,2024.073719133623,0.144819975,0.5314223447348922,1.9984436558989384e6,126.37525662826374,0.129016903
70,1.998569499733222e6,1091.306862700032,1.997374099871439e6,2286.706724483025,0.204473782,1089.9822340549435,1.9975778351139163e6,2081.6468533606385,0.198487517,1.1801021173596382e-5,1.9985681741999004e6,1.3255451225559227,0.156224532,1102.5579345405567,1.9975222059764657e6,2149.85169129679,0.146773665,0.47995542199350893,1.998419896057561e6,150.0836310829036,0.131333052
71,1.998569499733222e6,1078.0841544733848,1.9972912526763754e6,2356.3312113198335,0.206248575,1076.566992887063,1.9974303097570671e6,2215.7569690418895,0.200646931,7.43684358894825e-6,1.998568179586136e6,1.3201545228657778,0.158127721,1092.8420585135464,1.9974501280818637e6,2212.2137098717503,0.151785567,0.44715190422721207,1.99844412158369e6,125.82530143624172,0.133106511
72,1.998569499733222e6,1065.7565320145804,1.9972369670312433e6,2398.2892339933314,0.207967818,1064.5314454182517,1.9973495860885e6,2284.445090140216,0.204821992,3.835884854197502e-6,1.9985684310721331e6,1.0686649246199522,0.159938328,1082.7143633582164,1.997734647405989e6,1917.566690591164,0.153777186,0.4107974322978407,1.9984415605254453e6,128.3500052089803,0.135346448
73,1.998569499733222e6,1053.615634860238,1.997436793582389e6,2186.321785693377,0.209689823,1053.739673312055,1.9975635881522638e6,2059.651254270255,0.206505956,3.287801519036293e-6,1.9985690228554127e6,0.47688109704176895,0.164217203,1074.0261832869146,1.9974519938665885e6,2191.53204992041,0.155683058,0.3739781503099948,1.9984429058739948e6,126.96783737745136,0.13739101
74,1.998569499733222e6,1045.0027323605027,1.997538186975565e6,2076.3154900174704,0.214108894,1043.042813612381,1.9974541971811824e6,2158.345365651825,0.208329251,2.8207432478666306e-6,1.9985690729067414e6,0.4268293013155926,0.165956646,1062.3850320049096,1.997124212494072e6,2507.672271154821,0.157739074,0.3518709933850914,1.9984750842901375e6,94.76731407782063,0.139115899
